,SAPClient,CompanyCode,CompanyCodeName,PostingDate,DocumentType,DocumentTypeName,SourceTable,DELETE_DF_DI,UPDATE_DF_TS,Amount,CreditAmount,ProcessingTime
0,100,1038,New York American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090453,53.28,,2021-08-04 04:05:47.512
1,100,1018,New Jersey-American Water,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090454,297463.11,,2021-08-04 04:05:47.512
2,100,1015,California-American Water,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090443,89146.82,,2021-08-04 04:05:47.512
3,100,1024,Pennsylvania-American Wat,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090421,217.96,,2021-08-04 04:05:47.512
4,100,,,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090454,0.00,,2021-08-04 04:05:47.512
5,100,1017,Missouri-American Water C,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210803084950,1752522.49,0.00,2021-08-04 04:05:47.512
6,100,1038,New York American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090802,352993.31,,2021-08-04 04:05:47.512
7,100,1018,New Jersey-American Water,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090802,1523738.23,,2021-08-04 04:05:47.512
8,100,1015,California-American Water,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090802,125398.31,,2021-08-04 04:05:47.512
9,100,1025,Illinois-American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,6506.63,,2021-08-04 04:05:47.512
10,100,1012,Kentucky-American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,89295.94,,2021-08-04 04:05:47.512
11,100,1013,Maryland-American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,350.15,,2021-08-04 04:05:47.512
12,100,1011,Iowa-American Water Compa,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,49876.59,,2021-08-04 04:05:47.512
13,100,1027,Virginia-American Water C,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,67524.56,,2021-08-04 04:05:47.512
14,100,1024,Pennsylvania-American Wat,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803090802,480999.61,,2021-08-04 04:05:47.512
15,100,,,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,0.00,,2021-08-04 04:05:47.512
16,100,1010,Indiana-American Water Co,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094133,1731.67,,2021-08-04 04:05:47.512
17,100,1028,West Virginia-American Wa,20210804,D,Direct Debit Bank Account -AW,DPAYH,,20210803094151,143283.32,,2021-08-04 04:05:47.512
